question_id,question,opa,opb,opc,opd,ans
7123,"A 21-year-old woman is in the third trimester of an uncomplicated pregnancy. She has noted an enlarging nodule in her mouth for the past 2 weeks. On physical examination, there is a 1-cm red nodule on the left lateral gingiva below the first molar. The nodule regresses the following delivery. What is this nodule most likely to be?",Bacillary angiomatosis,Capillary hemangioma,Cavernous lymphangioma,Glomus tumor,1
7124,The professional antigen presenting cells are,Endothelial cells,Dendritic cells,T cells,B cells,1
7125,Emperipolesis is typical histological finding in,Alcoholic hepatitis,Auto immune hepatitis,Viral hepatitis,Drug induced hepatitis,1
7126,Pain relief in acupuncture is mediated by ?,Endogenous opioids,Kinins,Substance P,PGs,0
7127,MYD88 L265P mutation is seen in?,Hairy cell leukemia,Waldenstrom Macroglobulinemia,Multiple Myeloma,AML,1
7128,Deficiency of folic acid leads to,Pernicious anemia,Megaloblastic anemia,Iron deficiency anemia,Thalassemia,1
7129,Which of the following causes malignant mesothelioma?,Smoking,Asbestosis,Silicosis,Pneumoconiosis,1
7130,Exudate in rheumatic fever is -,Serous,Purulent,Fibrinous,Myxomatous,2
7131,Shape of RBC is biconcave due to?,Ankyrin,Spectrin,Band protein,Glycophorin - C,1
7132,"A 40-year-old woman with a history of rheumatic fever presents with shoness of breath, weight loss, fatigue and abdominal distension. Physical examination shows rales in the lungs, hepatosplenomegaly and 2+ pitting edema of the legs. A chest X-ray reveals only left atrial enlargement and pulmonary edema. What is the most likely cause of pulmonary edema in this patient?",Aoic insufficiency,Aoic stenosis,Mitral stenosis,Tricuspid insufficiency,2
7133,The risk factor in cholangiocarcinoma,Pancreatitis,Ulcerave coltis,Pyelonephritis,Caroli disease,3
7134,"A 74-year-old woman has noted increasing size and number of darker brown patches on the dorsum of each hand for the past 15 years. They do not change with sun exposure, are nonpruritic, and non-tender. On examination, these 0.5- to 1-cm lightly pigmented lesions are flat. Which of the following is the most likely microscopic finding in these lesions?",Basal melanocytic hyperplasia,Dermal nevus cells,Loss of melanin in surrounding skin,Mast cell proliferation,0
7135,Congo-red with amyloid produces -,Dark brown colour,Blue colour,Brilliant pink colour,Khaki colour,2
7136,TH1 is involved in w hich type of hypersensitivity?,Type 1,Type 2,Type 3,Type 4,3
7137,Mother of a child is worried about green stains on the recently erupted upper anterior teeth of her child. The stains are most probably due to:,Chromogenic bacteria,Neonatal line,Calculus,Material alba,0
7138,A 40 year old male had undergone splenectomy 20 years ago. Peripheral blood smear examination would show the presence of -,Dohle bodies,Hypersegmented neutrophils,Spherocytes,Howell-Jolly bodies,3
7139,Which of the following stage of syphilis is associated with primary bullous lesions?,Primary syphilis,Secondary syphilis,Teiary syphilis,Congenital syphilis,3
7140,Systemic military TB occurs when spread occurs -,Aerial,Venous,Lymphatic,Direct dissemination,1
7141,NOT a component of Virchow triad: March 2013,Endothelial injury,Stasis,Hypercoagulable states,Immunodeficiency,3
7142,Mutation in Marfan's syndrome is?,Collagen I,Collagen IV,Fibrillin I,Fibrillin II,2
7143,In lobstein disease or brittle bone disease defect occurs in:,Type 1 collagen,Type 2 collagen.,Type 4 collagen.,Type 6 collagen.,0
7144,"The following condition is associated with brown skin pigmentation, hypoplasia of kidney and spleen, absent or hypoplastic thumb or radius, microcephaly and mental and sexual retardation",Aplastic Anemia,Pernicious Anemia,Sickle Cell Anemia,Megaloblastic Anemia,0
7145,"A 20-year-old man is brought to the hospital emergency department by a friend who found him unconscious in his apartment after trying to contact him for 3 days. On arrival, the patient is in a state of respiratory depression. He experiences convulsions for 2 minutes, followed by cardiac arrest. Advanced cardiac life support measures are instituted, and he is stabilized and intubated. On physical examination, there are needle tracks in the left antecubital fossa, miosis, and a loud diastolic heart murmur. His temperature is 39.2deg C. Use of which of the following substances by this man most likely produced these findings?",Cocaine,Ethanol,Flurazepam,Heroin,3
7146,The reagent used in Apt test is,Sodium bicarbonate,KCL,Sodium hydroxide,Sodium chloride,2
7147,Which of the following surface glycoproteins is most often expressed in human hematopoietic stem cell?,CD22,CD4D,CD15,CD34,3
7148,Ulcerative colitis what is seen -,Cryptitis,Crypt loss,Crypt branching,Proliferating mucosa,0
7149,Which does not cause microvesicular steatosis -,Alcoholic fatty liver,Tetracycline toxicity,Acute fatty liver of pregnancy,Reyes syndrome,0
7150,An acute inflammatory focus would attract:,Monocytes,Plasma cells,Neutrophils,Basophils,2
7151,Which one of the following is NOT a feature of Kaagener&;s syndrome -,Bronchiectasis,Ciliary dyskinesia,Pancreatic insufficiency,situs inversus,2
7152,"Appearance of characteristic “burr cells”,  “helmet cells” and “triangle cells” in peripheral blood smears is indicative of:",Polychromasia,Anisocytosis,Poikilocytosis,Schistocytosis,3
7153,"A 9-year-old girl is diagnosed with acute rheumatic fever. Instead of recovering as expected, her condition worsens and she dies. Which of the following is the most likely cause of death?",Central nervous system involvement,Endocarditis,Myocarditis,Streptococcal sepsis,2
7154,"A 63-year old man presented with massive splenomegaly, lymphadenopathy and a total leucocyte count of 17000 per mm3. The flow cytometery showed CD 23 negative and C 5 positive monoclonal cells with bright kappa positively comprising 80% of the peripheral blood lymphoid cells. The most likely diagnosis is -",Mantle cell lymphoma,Splenic lymphoma with villous lymphocytes,Follicular lymphoma,Hairy cell leukemia,0
7155,Foam cells in atherosclerosis contain lipid in the form of ?,Oxidized LDL,Reduced LDL,Oxidized VLDL,Reduced VLDI,0
7156,Increased Ig A levels are seen in,Alcoholic hepatitis,Alcoholic cirrhosis,Microvescicular fatty change,Macrovesicular fatty change,1
7157,Increased vascular permeability in acute inflammation is due to ?,Histamine,IL 2,TGF beta,FGF,0
7158,Chromosomal translocation seen in CML is:,2:08,8:14,9:22,15:17,2
7159,C3 complement is cleared by?,CD 59,CD 55,Factor D,Factor E,1
7160,Hea failure cells are,Lipofuscin granules in cardiac cells,Pigmented alveolar macrophages,Pigmented pancreatic acinar cells,Pigment cells seen in liver,1
7161,List the odd one out among the following,Trisomy 18 (Noonan syndrome),Trisomy 21 (Downs syndrome),Trisomy 18 (Edwards synd.),Trisomy 13 (Patau synd.),0
7162,Which of the following is earliest sign of ulcerative colitis on double contrast barium enema (DCBE) study?,Fine Mucosal granularity,Loss of haustrations,'Collar-button' ulcers,Lead pipe colon,0
7163,Commonest sarcoma in children is -,Rhabdomyosarcoma,Lipoma,Angiosarcoma,Fibrosarcoma,0
7164,SnRNA mutation is associated with which syndrome?,Turner syndrome,Prader Willi syndrome,Klinefelter syndrome,Patau syndrome,1
7165,"Following an injury to a blood vessel, immediate haemostasis is achieved by -",Fibrin deposition,Platelet adhesion,Vasoconstriction,Thrombosis,2
7166,Hepatitis virus that causes chronic liver disease is?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,2
7167,Edwards syndrome is,Trisomy 21,Trisomy 18,Trisomy l3,5P,1
7168,Which of the following cancer metastasize to brain leastly: March 2011,Hypernephroma,Breast carcinoma,Choriocarcinoma,Prostatic carcinoma,3
7169,Which of the following is C-X-C chemokine?,Fractalkine,Lymphotactin,Rantes,IL-8,3
7170,In internal injury in body leukocyte is recruited by ?,IL 1,Selectin,Integrin,IL 6,0
7171,Mutation in which of the following gene is found in Marfan's syndrome?,Collagen I,Collagen IV,Fibrillin I,Fibrillin II,2
7172,"""Antihistone"" antibodies are detectable in:",CREST,PAN,Drug induced Lupus,Intestinal lymphoma,2
7173,Anaplasia in Wilm's tumor is evident by-,Increased mitosis,Pleomorphic nuclei,Large nucleus,p53 mutation,1
7174,Organism involved in cellulitis is:,Strept. mutans,"Strept, pyogenes",Pneurnococci,Klebsiella,1
7175,Ham test is done for -,PNH,Megaloblastic anemia,Sickle cell anemia,Thalassemia,0
7176,Starch is considered to be less cariogenic than monosaccharides and disaccharides because it,Does not diffuse through plaque,Is rapidly hydrolysed in the mouth,Enhances remineralisation,Raises the pH in the oral cavity,0
7177,Platelet adhesion to collagen occurs,Factor VIII,Factor IX,Von-Willebrand factor,Fibronectin,2
7178,Lipoxins synthesized from arachidonic acid act by?,"Decrease leucocyte migration, adhesion, chemotaxis","Increase leucocyte migration, adhesion, chemotaxis",Vasoconstrictio,Increased vascular permeability,0
7179,"A 22 year old female Asian immigrant presents with complaints of malaise, fever, arm pain, loss of appetite, and visual problems. Her mother states that she fainted 1 week ago. The physician cannot palpate the patient's lower extremity pulses and notes that the dial pulses are weak. The erythrocyte sedimentation rate (ESR) is elevated. Which of the following is the most likely diagnosis?",Buerger's disease,Kawasaki's disease,Takayasu's aeritis,Thrombophlebitis,2
7180,"A 75-year-old woman presents with a pruritic vulvar lesion. Physical examination reveals an irregular white, rough area involving her vulva. If this area of leukoplakia is due to lichen sclerosis, then biopsies from this area will most likely reveal",Atrophy of epidermis with dermal fibrosis,Epidermal atypia with dysplasia,Epithelial hyperplasia and hyperkeratosis,Individual malignant cells invading the epidermis,0
7181,Vitamin deficiency associated with increase xanthurenic acid excretion in urine,Thiamine,Pyridoxine,Ascorbic acid,Niacin,1
7182,The following condition is not associated with an Anti- phopholipid syndrome -,Venous thrombosis,Recurrent foetal loss,Thrombocytosis,Neurological manifestations,2
7183,"In frey's syndrome, neurotransmitter is:",Acetylcholine.,Epinephrine.,Norepinephrine.,Serotonin.,0
7184,"A 32-year-old woman is a vegan (i.e., a strict vegetarian who eats no animal products of any kind). She is weak and pale, and laboratory studies show a macrocytic, normochromic anemia (hemoglobin =6.2 g/dL). This patient most likely has which of the following vitamin deficiencies?",Vitamin A,Vitamin B12,Vitamin D,Vitamin E,1
7185,"BA lady with abdominal mass was investigated. On surgery, she was found to have b/1 ovarian masses with smooth surface. On microscopy they revealed mucin secreting cells with signet ring shapes. What is your diagnosis?",Dysgerminoma,Krukenberg tumour,Primary Adenocarcinoma of the ovaries,Dermoid cyst,1
7186,Curshmann's crystals are seen in ?,Bronchial asthma,Bronchiectasis,Chronic bronchitis,Wegners granulomatosis,0
7187,Progression of dental caries on pit and fissure occurs from:,Apex of the pit and fissure.,Wide end of the pit and fissure.,Lateral surface of the pit and fissure.,Bottom of the pit and fissure.,2
7188,"A 4-year-old male with mental retardation, self-mutilation, and hyperuricemia is likely to have a deficiency of an enzyme involved in the:",Conversion of homogentisic acid to methylacetoacetate,Degradation of galactocerebroside,Breakdown of branched-chain amino acids,Recycling of guanine and hypoxanthine,3
7189,"A 22-year-old biker had a road traffic accident with severe injury, after admitting in the hospital his condition suddenly worsens and leads to death, the pathological specimen is provided, what could be likely cause of death?",Septic shock,Pulmonary thromboembolism,Deep vein thrombosis,Varicosities of the vein,1
7190,Popcorn cells are seen in which variety of hodgkin's disease ?,Nodular sclerosis,Mixed cellularity,Lymphocyte predominant,Lymphocyte depletion,2
7191,Most common age group affected with Infantile Colic is between,0-3 months,4-6 months,7-9 months,10-12 months,0
7192,Hypersegmented neutrophils are seen in -,Microcytic hypochronic anemia,Sideroblastic anemia,Megaloblastic anemia,Hemolytic anemia,2
7193,"""Periglomerular"" Fibrosis is considered typical of:",Chronic pylonephritis,Chronic glomerulonephritis,Aerionephrosclerosis,Malignant hypeension,0
7194,Diagnosis of falciparum,HRP I,HRP II,HRP III,HRPIV,1
7195,Which is anti inflammatory?,Lipoxins,Thromboxane,Prostaglandins,Interleukins,0
7196,The prostatic growth in benign prostatic hypertrophy is due to-,Testosterone,17 estradiol,Dihydrotestosterone,Oestrogen,2
7197,Myotonic dystrophy is inherited in chromosomes -,21,20,19,24,2
7198,Red velvety appearance of stomach mucosa is seen in the poisoning of,Lead,Arsenic,Copper,Mercury,1
7199,Which one of the following Lymphomas is associated with HTLV-virus infection?,Burkitt's lymphoma,B-cell lymphoma,Adult T-cell leukemia and lymphoma,Hodgkin's disease,2
7200,Irreversible injury to myocardium in MI occurs earliest by,Few seconds,10 minutes,20 minutes,40 minutes,2
7201,Phagocytosis in brain is caused by,Astrocytes,Microglia,oligodendrocytes,Ependymal cells,1
7202,Sequstrated lobe of lung is commonly supplied by -,Pulmonary aery,Intercostal aery,Descending aoa,Bronchial aery,2
7203,Most common tumor suppressor gene involved in cancer genesis is?,Rb,p53,p16,p73,1
7204,"Chubby cheeks, eyes are blue and staring at the sky is a feature of",Cherubism,Fibrous dysplasia,Ectodermal dysplasia,Sicca syndrome,0
7205,Biopsy of the parotid gland in a patient with Sjogren's syndrome shows -,Neutrophils,Lymphocytes,Eosinophils,Basophils,1
7206,Which of the following is a specific marker for ewings sarcoma?,CD 45,CD 99,HMB-45,CD1a,1
7207,Cell to cell permeability occurs through,Occludin,Zona adherens,Connexins,Zonulin,2
7208,Most common mutation in haemophilia is:,Intron 1 inversion,Intron 22,619 bp deletion,3.7 bp deletion,1
7209,Which of the following type of aneurysm is associated with adult polycystic kidney disease?,Berry aneurysms in Circle of Willis,Saccular aneurysms of aoa,Fusiform aneurysms of aoa,Luetic aneurysms,0
7210,"A patient developed ahritis, skin rash and abdominal colic following an episode of upper respiratory tract infection. She passed bright colored urine which, upon microscopic examination, showed numerous red blood cells. Immunofluorescence study of this patient's kidney biopsy will reveal glomerular deposition of which of the following types of immunoglobulin?",IgA,IgD,IgE,IgG,0
7211,Renal cell carcinoma is related to gene located on chromosome ?,3,X,22,20,0
7212,Popcorn calcification on chest X-ray is seen in:,Hamaoma,Granuloma,Metastasis,sarcoidosis,0
7213,"In Burkitts lymphoma, translocation seen is chromosome?",12 - 14 translocation,8 - 14 translocation,4 - 8 translocation,12- 18 translocation,1
7214,"A 24-year-old female presents with severe pain during menses (dysmenorrhea). To treat her symptoms, you advise her to take indomethacin in the hopes that it will reduce her pain by interfering with the production of",Bradykinin,Histamine,Phospholipase A2,Prostaglandin F2,3
7215,Which of the following is not a marker of seminoma?,PLAP,Alpha fetoprotein,Beta HCG,LDH,1
7216,OsteoscLerosis of bone occurs due to,Decreased host resistance,Increase in the virulence of organisms causes infection,Increased host response,Occurs in immunocompromised patients,2
7217,Commonest fungal infection in neutropenia -,Aspergillus Fumigatus,Candida,Aspergillus calvus,Mucormycosis,1
7218,Which of the following tumor suppressor genes act by inhibition of Hedgehog signaling pathway?,PTCH,SDHB,BRCA1,CDKN2A,0
7219,"In reflux nephropathy, glomerular lesion is?",Focal GN,Membranous GN,Membrano proliferative G.N,Minimal change disease,0
7220,Most common type of gastric polyp is -,Hyperplastic polyp,Hamaomatous polyp,Malignant polyp,Familial polyosis,0
7221,Type B gastritis -a) Body predominant b) Fundus predominantc)  Antral predominant d) H. pylorie) Autoimmune,ab,bc,bd,cd,3
7222,Which of the following disorders has the potential to develop myeloid leukemia,Micro angiopathic hemolytic anemia,Sideroblastic anemia,Paroxysmal nocturnal Hemoglobinuria,Megaloblastic anemia,2
7223,"In acute inflammation due to the contraction of endothelial cell cytoskeleton, which of the following results",Delayed transient increase in permeability,Delayed permanent increase,Early permanent increase,Early transient increase,3
7224,Which hormone is mainly responsible for prostatic hypertrophy?,Testosterone,FSH,LH,DHT,3
7225,What is the major source for histamine released during inflammation?,Platelets,Mast cells,Basophils,Endothelial cells,1
7226,The least extrapyramidal side effects are seen with the following phenothiazine,Clozapine,Triflupromazine,Fluphenazine,Thioridazine,3
7227,Chromosomal translocation seen in CML is?,2:08,8:14,9:22,15:17,2
7228,Increased susceptibility to breast cancer is likely to be associated with a mutation in the following gene-,P53,BRCA-1,Retinoblastoma(Rb),H-Ras,0
7229,Most common cause of cell Injury at level of cells?,Hypoxia,Ischemia,CO poisoning,Anemia,0
7230,Most common site for non-Hodgkins lymphoma outside the lymph nodes is,Liver,Spleen,Stomach,Brain,2
7231,A 66-year-old woman collapses while shopping and expires suddenly of cardiac arrest. Her past medical history is significant for long-standing type 2 diabetes mellitus. Her relatives note that she had complained of chest heaviness and shoness of breath for the past 2 weeks. Sterile fibrinous pericarditis and pericardial effusion are observed at autopsy. What additional finding would be expected during autopsy of this patient?,Endocardial fibroelastosis,Marantic endocarditis,Mitral valve prolapse,Myocardial infarct,3
7232,A family pedigree reveals first- and second-generation female relatives with premature menopause and male relatives with a progressive neurodegenerative disorder starting by their sixth decade. There are more males than females exhibiting mental retardation from childhood by the fourth generation. Genetic analysis of affected persons reveals CGG repeat expansions in a gene encoding for a protein that binds mRNA transcripts in neurons and shuttles them to the synapses. An abnormality involving which of the following organs is most likely to be present in affected males?,Adrenal,Pancreas,Pituitary,Testis,3
7233,Which of the following is a immune privileged sites ?,Kidney,Testis,Lung,Liver,1
7234,Which of the following is a characteristic feature of malignant hypertension?,Fibrinoid necrosis,Hyalinising and medial hyperplasia,Intimal hyperplasia,Nephrosclerosis,0
7235,KleihauerBetke test is used to detect,Ferning pattern in follicular phase,Cephalopelvic disproportion,Fetomaternal blood leak,Sperm-cervical mucus interaction,2
7236,"An Rh-ve woman became pregnant with Rh+ve fetus.Within few days after bih, the infant developedjaundice, ascites, hepatomegaly and edema. Thelikely substance (s) deposited in skin and sclera injaundice is/are given below. Which is the bestpossible answer",Biiiverdin,Conjugated and unconjugated bilirubin,Unconjugated bilirubin,Conjugated bilirubin,1
7237,Single gene disorder is-a) Glycogen storage diseaseb) Retinoblastornac) DMd)  HT,ac,a,ab,bc,2
7238,Which of the following is not antioxidant?,Superoxide dismutase,Catalase,Coagulase,Glutathione peroxidase,2
7239,Most common Hodgkin's lymphoma?,Nodular sclerosis,Mixed cellularity,Lymphocyte depleted,Lymphocyte rich,0
7240,"In hereditary spherocytosis, an inherited abnormality is seen in which of the following red blood cell component?",a-globin chain,b-globin chain,Phosphatidyl inositol glycan A,Spectrin,3
7241,"Most common presentation of gastrinoma/ZES: March 2013 (f, h)",Abdominal pain,Duodenal ulcer,Weight loss,Nausea,1
7242,"A 4-year-old boy develops severe bleeding into the knee joint. Laboratory studies show that serum levels of factor IX are reduced, but levels of factor VIII are normal. What is the appropriate diagnosis?",Hemophilia A,Hemophilia B,Henoch-Schonlein purpura,Idiopathic thrombocytopenic purpura,1
7243,The highest malignant potential is seen in:,Crohn's disease,Ulcerative colitis,Familial polyposis,Infantile polyp,2
7244,Renal calculi are commonly made up of,Calcium oxalate,Magnesium ammonium phosphate,Uric acid,Cystine,0
7245,Which of the following induces apoptosis in a cell?,Oleic acid,Glucocorticoids,Isoprenoids,Myristic acid,1
7246,Not a premalignant condition:,Fragile X syndrome,Down’s syndrome,Bloom syndrome,Fanconi’s syndrome,0
7247,Thistle-tube appearance is a characteristic feature of:,Radicular dentin dysplasia,Coronal dentin dysplasia,Amelogenesis imperfecta,Dentinogenesis imperfecta,1
7248,Organ which undergoes involution: March 2005,Parathyroid gland,Thyroid gland,Pineal gland,Thymus,3
7249,Neointimal hyperplasia causes vascular graft failure as a result of hyperophy of-,Endothelial cells,Collagen fibers,Smooth muscle cells,Elastic fibers,2
7250,Based on the characteristic cytological findings on PAP smear examination in a 26-year-old female presented for screening. What's your diagnosis?,LSIL,HSIL,Squamous cell carcinoma,Adenocarcinoma,0
7251,"An Rh -ve woman became pregnant with Rh +ve fetus. Within few days after bih, the infant developed jaundice, ascites, hepatomegaly and edema. The likely substance(s) deposited in skin and sclera in jaundice is/are given below. Which is the best possible answer?",Biliverdin,Conjugated and unconjugated bilirubin,Unconjugated bilirubin,Conjugated bilirubin,1
7252,Lacunar type of reed sternberg cell is seen in ?,Nodular sclerosis,Lymphocyte predominance,Mixed cellularity,Lymphocyte depletion,0
7253,Part of the kidney unit involved in Arsenic Poisoning -,Collecting duct,Loop of henle,PCT,DCT,2
7254,Neuroendocrine lesions of lung are,Carcinoid tumor,Alveolar carcinoma,Hamartoma,Asthma,0
7255,TH1 cells produced by?,Memory T cells,Cytotoxic T cells,Helper T-cells,Suppressor T cells,2
7256,Squamous cell carcinoma on tongue most common site is,Apex,Base,Lateral borders,Dorsum,2
7257,Not seen in children is,Neuroblastoma,Retinoblastoma,Hepatoblastoma,Seminoma,3
7258,"A 29-year-old man notes burning pain on urination with a urethral discharge that has persisted for 3 days. A sample of the exudate is positive by ELISA for Chlamydia trachomatis. The man has increasing stiffness of the knees and ankles and lower back pain 3 weeks later. A radiograph of the lumbar spine shows narrowing with sclerosis of the sacroiliac joints. One month later, he develops painful erythema of the glans penis, and the conjunctivae are red. A follow-up examination shows a slightly irregular heart rate and a murmur suggestive of aortic regurgitation. The back pain continues off and on for 5 more months. Which of the following test results is most likely to be positive in this man?",ANCA,ANA,HLA-B27 genotype,Anti-Borrelia antibodies,2
7259,The first consideration in the differential diagnosis of a painless palatal perforation would be,Syphilis,Histoplasmosis,Scrofuloderma,Actinomycosis,0
7260,Paradoxical embolism is seen in,Heart,Liver,Brain,Lung,0
7261,Yellowish exudates at multiple sites seen in colonoscopy indicates -,Crohn's disease,Hirschsprung disease,Tuberculosis,Lymphoma,0
7262,The commonest site for extragonadal germ cell tumour is ?,Retroperitoneum,Sacrococcygeal region,Pineal gland,Mediastinum,3
7263,MCHC criteria to diagnose iron deficiency anemia:,<32,<34,<28,<30,1
7264,Chronic Right Hea Failure the appearance of liver ?,Congested,Shrinking,Fatty liver,Nodular,0
7265,Unconjugated hyperbilirubinemia is seen in,Rotor syndrome,Dubin-Johnson syndrome,Gilbe syndrome,Bile duct obstruction,2
7266,Wilson's disease is due to mutation in which gene,WT - 1,ATP7B,ATP7A,LMK - 2,1
7267,Rodent ulcer is -,Infectious ulcer,Hypersensitivity,Basal cell carcinoma,Squamaous cell carcinoma,2
7268,"A patient had renal transplant 2 months back and now presented with difficulty in breathing. X ray showed bilateral diffuse interstitial infiltrates, which are more in the perihilar region. The probable etiologic agent would be:",CMV,Mycobacterium tuberculosis,Staphylococcus aureus,Pneumocystis jirovecii,3
7269,"A 63-year-old man with a 30-year history of alcohol abuse notes hematemesis for the past day. On examination, he has ascites, mild jaundice, and an enlarged spleen. He also has gynecomastia, spider telangiectasias of the skin, and testicular atrophy. Rectal examination indicates prominent hemorrhoids and a normal-sized prostate. An emergent upper endoscopy shows dilated, bleeding submucosal vessels in the esophagus. Laboratory studies show total protein, 5.9 g/ dL; albumin, 3.2 g/dL; AST, 137 U/L; ALT, 108 U/L; total bilirubin, 5.4 mg/d; prothrombin time, 20 seconds; ammonia, 76 mmol/L; and hematocrit, 21%. Which of the following pathologic findings in his liver is most likely to explain the hematemesis?",Cholangitis,Cholestasis,Cirrhosis,Hepatitis,2
7270,"Familial clustering of pancreatic cancer has been repoed, and a growing number of inherited genetic defects are recognized to increase pancreatic cancer risk. The disorder with maximum risk of pancreatic cancer by the age of 70 is:",Peutz-Jeghers syndrome,Hereditary pancreatitis,Familial atypical multiple-mole melanoma syndrome,Hereditary breast and ovarian cancer,0
7271,Which of the following is a membrane receptor defect -,Thalassemia,Sickle cell disease,Familial hypercholesterolemia,Henoch Schonlein purpura,2
7272,The tissue of which lesion has been described as resembling a 'blood soaked sponge with large pores'?,Cavernous hemangioma,Capillary hernangioma,Aneurysmal bone cyst,Eruption hematoma,2
7273,"It is 1:00 A.M. and a hard-working second-year medical student is intent on finishing her pathology reading assignment. Soon she begins to note that her concentration is fading because 7 hours have passed since she had dinner, and she is feeling famished. Having studied the chapter on ischemic heart disease, she decides to be prudent and forgoes her favorite chocolate cookies, and instead devours two apples, gulping them down with a glass of low-fat milk. Of the following substances, which one was most likely to have increased rapidly when she became hungry and decreased promptly after she finished her healthy snack?",a-MSH,Corticotropin-releasing factor (CRF),Ghrelin,Leptin,2
7274,Who gave the stripped Y classification of clefts?,Veau,Kernhan,David and Ritchie,Tessier,1
7275,Schiller' Duval bodies is seen in -,Choriocarcinoma,Embryonal cell Ca,Endodermal sinus tumour,Immature teratoma,2
7276,Hemochromatosis is a defect in metabolism of -,Iron,Copper,Magnesium,Calcium,0
7277,The most common type of emphysema associated with a-1 antitrypsin deficiensy -,Centriacinar,Panlobular,Paraseptal,Distal ancitar,1
7278,Osteoblasts produce -,Collagen,Calcium,Pyrophosphate,Monosodium urate,0
7279,Hairy leukoplakia is characterized by?,Pain,EBV infection,No association with HIV,Pre-cancerous,1
7280,Osmotic fragility is:,Negative in iron deficiency anaemia,Negative in autoimmune hemolyticanaemia,Based on the principle of lysis in serial dilutions of hypertonic saline,Best if performed in citrated blood sample,0
7281,"""Hea failure"" cells are found in:",Myocardium,Lungs,Liver,Spleen,1
7282,Risk of breast carcinoma is most likely with which of the following conditions?,Sclerosing adenosis,Atypical epithelial hyperplasia,Fibrocystic change,Apocrine metaplasia,1
7283,"Yellowish discoloration of teeth is seen in children fed
on:",High-protein diet,Tetracyclines,Penicillins,Erythromycin,1
7284,Unconjugated hyperbilirubinemia with increased urobilinogen is seen in -,Hemolytic anemia,Liver cirrhosis,Bile duct obstruction,Sclerosing cholangitis,0
7285,"In which of the following, vegetation is friable and easily detachable from the cardiac valves -",Rheumatic fever,Rheumatoid heart,SLE,Infective endocarditis,3
7286,Glanzmann thrombasthenia is due to,Decreased GpIb,Decreased GpIIb/IIa,Anti-GpIIb/IIIa antibodies,Inhibition or deficiency of ADAMTS 13,1
7287,"A 46-year-old woman undergoes an abdominal hysterectomy for a ""fibroid"" uterus. The surgeon requests a frozen section on the tumor, which is deferred because of the lesion's degree of cellularity. Which of the following criteria will be used by the pathologist in determining benignancy versus malignancy in permanent sections?",Mitotic rate,Cell pleomorphism,Cell necrosis,Nucleus-to-cytoplasm ratio,0
7288,Which of the following is the MOST common histological variant of prostate cancer?,Adenocarcinoma,Sarcoma,Seminoma,Squamous cell carcinoma,0
7289,"A 32 yr old man present to ER with history of high-grade fever, dyspnea and fatigue. On physical examination reveals a new holosystolic murmur that is best heard over cardiac apex. Skin examination shows following skin lesion. What is most likely diagnosis?",Rheumatic hea disease,Infective endocarditis,Libman sack endocarditis,Kaposi sarcoma,1
7290,Birbereck granules in cytoplasm are seen in?,Mast cells,Langerhan's cells,Thrombocytes,Myelocytes,1
7291,Paneth cells contain,Zinc,Copper,Molybdneum,Selenium,0
7292,Caspases are involved in -,Apoptosis,Pinocytosis,Cell signaling,Cell injury,0
7293,Large antigen - antibody reaction is required to cause -,Serum sickness,Ahus reaction,Uicaria,Anaphylactic-reaction,1
7294,Myelofibrosis leading to a dry tap on the bone marrow aspiration is seen with which of the following condition -,Burkitt's lymphoma,Acute erythroleukemia,Acute megakaryocytic leukemia,Acute myelomonocytic leukemia,2
7295,Arrange the following tumours according to increasing age group A. Ewing's Sarcoma B. Osteosarcoma C. Osteoclastoma D. Chondrosarcoma,"B,D,A,C","C,B,D,A","D,A,C,B","A,B,C,D",3
7296,Coomb's positive hemolysis is seen in -,TTP,SLE,ITP,PNH,1
7297,The tensile strength of the wound starts and increase after –,Immediate suture of the wound,3 to 4 days,6 months,7 to 10 days,3
7298,Most common clinical presentation of sarcoidosis:,Pleural plaque,Hilar lymphadenopathy,Pulmonary fibrosis,Interstitial calcification,1
7299,The stain used for demonstrating Auer rods in blasts is -,Periodic Acid Schiff(PAS,Myeloperoxidase,Leucocyte alkaline phosphatase,Non-specific esterase,1
7300,Congo red staining for amyloid under polarized light shows: September 2007,Silver birefringence,Golden birefringence,Blue birefringence,Green birefringence,3
7301,Amebic liver disease is characterized by?,Most common in right lobe of the liver,Diarrhea is the most common presentation,Resistant to metronidazole,Liver is the most common primary site of infection,0
7302,Which type of FSGS has worst prognosis ?,Tip variant,Collapsing,NOS,Perihilar,1
7303,The most common precancerous lesion for oral  malignancy is,chronic hypertrophic candidiasis,leukoplakia,dental ulcers,atrophic glossitis,1
7304,Kupffers cells in liver are,Macrophages,Lymphocytic,Complimentary proteins,Coagulation proteins,0
7305,Apoptosis is differentiated from necrosis by the following feature-,Absence of inflammation,Cell swelling,Disruption of plasma membrane,Passive process,0
7306,BRAF mutation is seen in,LCH,Colon ca,Hairy Cell Leukemia,AML,2
7307,Indirectly cytopathic viruses kill cells by provoking an,Injury to DNA,Immune response,Injury to the cell membrane,Influx of potassium,1
7308,Herpetic Whitlow is seen in,Fingers,Lymph nodes,Bone,Tongue,0
